timestamp,fft_hr,fft_hr_smoothed,breathing_rate
2025-01-12 09:44,66,63.966118,
2025-01-12 09:44,60,63.93917,
2025-01-12 09:45,60,63.918694,
2025-01-12 09:45,60,63.904743,
2025-01-12 09:45,60,63.89731,
2025-01-12 09:45,66,63.896324,
2025-01-12 09:45,66,63.901638,
2025-01-12 09:45,66,63.913067,
2025-01-12 09:45,66,63.930393,
2025-01-12 09:46,60,63.953346,
2025-01-12 09:46,66,63.981598,
2025-01-12 09:46,,64.01484,14.000001
2025-01-12 09:46,66,64.05268,
2025-01-12 09:46,66,64.09477,
2025-01-12 09:46,66,64.14071,
2025-01-12 09:46,60,64.19011,
2025-01-12 09:47,60,64.22311,
2025-01-12 09:47,66,64.26128,
2025-01-12 09:47,66,64.32345,
2025-01-12 09:47,60,64.38703,
2025-01-12 09:47,66,64.45169,
2025-01-12 09:47,66,64.517105,
2025-01-12 09:47,66,64.62193,
2025-01-12 09:48,66,64.68293,
2025-01-12 09:48,60,64.72487,
2025-01-12 09:48,66,64.80838,14.000001
2025-01-12 09:48,60,64.88896,
2025-01-12 09:48,66,64.96664,
2025-01-12 09:48,66,65.041405,
2025-01-12 09:48,66,65.11328,
2025-01-12 09:49,66,65.18228,
2025-01-12 09:49,66,65.22894,
2025-01-12 09:49,66,65.29473,
2025-01-12 09:49,66,65.35743,
2025-01-12 09:49,66,65.417046,
2025-01-12 09:49,66,65.47363,
2025-01-12 09:50,66,65.50773,
2025-01-12 09:50,66,65.541374,
2025-01-12 09:50,66,65.57434,
2025-01-12 09:50,,65.606445,13.500001
2025-01-12 09:50,66,65.657005,
2025-01-12 09:50,66,65.6844,
2025-01-12 09:50,66,65.71076,
2025-01-12 09:50,66,65.7613,
2025-01-12 09:51,66,65.78863,
2025-01-12 09:51,66,65.81496,
2025-01-12 09:51,66,65.85972,
2025-01-12 09:51,66,65.90091,
2025-01-12 09:51,66,65.919304,
2025-01-12 09:51,66,65.93711,
2025-01-12 09:51,66,65.9738,
2025-01-12 09:52,66,65.99633,
2025-01-12 09:52,66,66.03649,
2025-01-12 09:52,,66.05441,14.000001
2025-01-12 09:52,66,66.07231,
2025-01-12 09:52,66,66.05906,
2025-01-12 09:52,66,66.017044,
2025-01-12 09:52,66,66.03801,
2025-01-12 09:53,66,66.035904,
2025-01-12 09:53,66,66.032875,
2025-01-12 09:53,66,66.02886,
2025-01-12 09:53,66,66.04909,
2025-01-12 09:53,66,66.046234,
2025-01-12 09:53,66,66.042465,
2025-01-12 09:53,66,66.06311,
2025-01-12 09:54,66,66.06931,
2025-01-12 09:54,66,66.067535,
2025-01-12 09:54,66,66.06524,14.000001
2025-01-12 09:54,66,66.06245,
2025-01-12 09:54,66,66.05924,
2025-01-12 09:54,66,66.080956,
2025-01-12 09:54,66,66.08039,
2025-01-12 09:55,66,66.1052,
2025-01-12 09:55,72,66.10823,
2025-01-12 09:55,66,66.11183,
2025-01-12 09:55,66,66.1161,
2025-01-12 09:55,66,66.121124,
2025-01-12 09:55,66,66.12699,
2025-01-12 09:56,66,66.108475,
2025-01-12 09:56,66,66.112885,
2025-01-12 09:56,66,66.11799,
2025-01-12 09:56,,66.12381,14.000001
2025-01-12 09:56,72,66.15565,
2025-01-12 09:56,66,66.19153,
2025-01-12 09:56,66,66.231674,
2025-01-12 09:56,54.000004,66.22569,
2025-01-12 09:57,54.000004,66.217705,
2025-01-12 09:57,66,66.20731,
2025-01-12 09:57,66,66.16873,
2025-01-12 09:57,66,66.19938,
2025-01-12 09:57,66,66.20727,
2025-01-12 09:57,72,66.18912,
2025-01-12 09:57,66,66.192,
2025-01-12 09:58,66,66.184975,
2025-01-12 09:58,72,66.15833,
2025-01-12 09:58,,66.151695,14.000001
2025-01-12 09:58,66,66.117355,
2025-01-12 09:58,66,66.05179,
2025-01-12 09:58,66,66.05252,
2025-01-12 09:58,66,65.97706,
2025-01-12 09:59,72,65.942154,
2025-01-12 09:59,66,65.87809,
2025-01-12 09:59,72,65.80687,
2025-01-12 09:59,66,65.72838,
